table_name,column_name,column_type,description,text_for_embedding,relationship
cost,row_id,INTEGER PRIMARY KEY,Unique identifier for each row,"Table: cost
            Column: row_id
            Type: INTEGER PRIMARY KEY
            Description: Unique identifier for each row",
cost,subject_id,INTEGER,Unique identifier for each patient,"Table: cost
            Column: subject_id
            Type: INTEGER
            Description: Unique identifier for each patient",
cost,hadm_id,INTEGER,Unique identifier for each hospital admission,"Table: cost
            Column: hadm_id
            Type: INTEGER
            Description: Unique identifier for each hospital admission",
cost,event_type,TEXT,Type of event,"Table: cost
            Column: event_type
            Type: TEXT
            Description: Type of event",
cost,event_id,INTEGER,Unique identifier for each event,"Table: cost
            Column: event_id
            Type: INTEGER
            Description: Unique identifier for each event",
cost,chargetime,TIME,Time of event,"Table: cost
            Column: chargetime
            Type: TIME
            Description: Time of event",
cost,cost,INTEGER,Cost of event,"Table: cost
            Column: cost
            Type: INTEGER
            Description: Cost of event",
diagnoses_icd,row_id,INTEGER PRIMARY KEY,Unique identifier for each row,"Table: diagnoses_icd
            Column: row_id
            Type: INTEGER PRIMARY KEY
            Description: Unique identifier for each row",
diagnoses_icd,subject_id,INTEGER,Unique identifier for each patient,"Table: diagnoses_icd
            Column: subject_id
            Type: INTEGER
            Description: Unique identifier for each patient",
diagnoses_icd,hadm_id,INTEGER,Unique identifier for each hospital admission,"Table: diagnoses_icd
            Column: hadm_id
            Type: INTEGER
            Description: Unique identifier for each hospital admission",
diagnoses_icd,icd_code,TEXT,ICD code for diagnosis,"Table: diagnoses_icd
            Column: icd_code
            Type: TEXT
            Description: ICD code for diagnosis",
diagnoses_icd,charttime,TIME,Time of diagnosis,"Table: diagnoses_icd
            Column: charttime
            Type: TIME
            Description: Time of diagnosis",
procedures_icd,row_id,INTEGER PRIMARY KEY,Unique identifier for each row,"Table: procedures_icd
            Column: row_id
            Type: INTEGER PRIMARY KEY
            Description: Unique identifier for each row",
procedures_icd,subject_id,INTEGER,Unique identifier for each patient,"Table: procedures_icd
            Column: subject_id
            Type: INTEGER
            Description: Unique identifier for each patient",
procedures_icd,hadm_id,INTEGER,Unique identifier for each hospital admission,"Table: procedures_icd
            Column: hadm_id
            Type: INTEGER
            Description: Unique identifier for each hospital admission",
procedures_icd,icd_code,TEXT,ICD code for procedure,"Table: procedures_icd
            Column: icd_code
            Type: TEXT
            Description: ICD code for procedure",
procedures_icd,charttime,TIME,Time of procedure,"Table: procedures_icd
            Column: charttime
            Type: TIME
            Description: Time of procedure",
labevents,row_id,INTEGER PRIMARY KEY,Unique identifier for each row,"Table: labevents
            Column: row_id
            Type: INTEGER PRIMARY KEY
            Description: Unique identifier for each row",
labevents,subject_id,INTEGER,Unique identifier for each patient,"Table: labevents
            Column: subject_id
            Type: INTEGER
            Description: Unique identifier for each patient",
labevents,hadm_id,INTEGER,Unique identifier for each hospital admission,"Table: labevents
            Column: hadm_id
            Type: INTEGER
            Description: Unique identifier for each hospital admission",
labevents,itemid,INTEGER,Unique identifier for each lab test,"Table: labevents
            Column: itemid
            Type: INTEGER
            Description: Unique identifier for each lab test",
labevents,charttime,TIME,Time of lab test,"Table: labevents
            Column: charttime
            Type: TIME
            Description: Time of lab test",
labevents,valuenum,INTEGER,value of lab test,"Table: labevents
            Column: valuenum
            Type: INTEGER
            Description: value of lab test",
labevents,valueuom,TEXT,unit of measurement for lab test,"Table: labevents
            Column: valueuom
            Type: TEXT
            Description: unit of measurement for lab test",
prescriptions,row_id,INTEGER PRIMARY KEY,Unique identifier for each row,"Table: prescriptions
            Column: row_id
            Type: INTEGER PRIMARY KEY
            Description: Unique identifier for each row",
prescriptions,subject_id,INTEGER,Unique identifier for each patient,"Table: prescriptions
            Column: subject_id
            Type: INTEGER
            Description: Unique identifier for each patient",
prescriptions,hadm_id,INTEGER,Unique identifier for each hospital admission,"Table: prescriptions
            Column: hadm_id
            Type: INTEGER
            Description: Unique identifier for each hospital admission",
prescriptions,starttime,TIME,Prescribed start time for drug,"Table: prescriptions
            Column: starttime
            Type: TIME
            Description: Prescribed start time for drug",
prescriptions,stoptime,TIME,Prescribed stop time for drug,"Table: prescriptions
            Column: stoptime
            Type: TIME
            Description: Prescribed stop time for drug",
prescriptions,drug,TEXT,Description of medication,"Table: prescriptions
            Column: drug
            Type: TEXT
            Description: Description of medication",
prescriptions,dose_val_rx,TEXT,Prescribed dose of drug,"Table: prescriptions
            Column: dose_val_rx
            Type: TEXT
            Description: Prescribed dose of drug",
prescriptions,dose_unit_rx,TEXT,Unit of measurement for drug dose,"Table: prescriptions
            Column: dose_unit_rx
            Type: TEXT
            Description: Unit of measurement for drug dose",
prescriptions,route,TEXT,Route of administration for drug,"Table: prescriptions
            Column: route
            Type: TEXT
            Description: Route of administration for drug",
chartevents,row_id,INTEGER PRIMARY KEY,Unique identifier for each row,"Table: chartevents
            Column: row_id
            Type: INTEGER PRIMARY KEY
            Description: Unique identifier for each row",
chartevents,subject_id,INTEGER,Unique identifier for each patient,"Table: chartevents
            Column: subject_id
            Type: INTEGER
            Description: Unique identifier for each patient",
chartevents,hadm_id,INTEGER,Unique identifier for each hospital admission,"Table: chartevents
            Column: hadm_id
            Type: INTEGER
            Description: Unique identifier for each hospital admission",
chartevents,stay_id,INTEGER,Unique identifier for each care unit stay,"Table: chartevents
            Column: stay_id
            Type: INTEGER
            Description: Unique identifier for each care unit stay",
chartevents,itemid,INTEGER,Unique identifier for each measurement,"Table: chartevents
            Column: itemid
            Type: INTEGER
            Description: Unique identifier for each measurement",
